;;"Проект ""Многоквартирный жилой дом по ул. Седова в г. Иркутске""";;;;;;;;;;;;;;;
;;Исполнение графика тендеров (закупка услуг);;;;;;;;;;;;;;;
;;отчетная дата:;;;31.05.2026;;;;;;;;;;;;
;ID Код;Этап работ;ГПР;Отставание;Начало тендера;;;Дата заключения договора;;;Стоимость (руб.);;;Контрагент;Договор;Статус;Комментарий к отклонениям
№ статей;;;;;План;Факт;Откл.;План;Факт;Откл.;План;Факт;Откл.;;;;
;;;;;;;;;;;;;;;;;
;2.04.;Подготовка территории строительства;;;;;;;;;5 357 508,00  ;5 930 054,04  ;572 546,04  ;;;;Доп работы по протяжке 2 линии электроснабжения
;2.05.12.;Слаботочные сети;01.07.2026;01.07.2026;01.06.2026;;;11.06.2026;;;;;;;;;
41;2.05.12.1.;Пожарная сигнализация;01.07.2026;01.07.2026;01.06.2026;;;11.06.2026;;;;;;;;;
42;2.05.12.2.;Системы связи, радио и ТВ;01.07.2026;01.07.2026;01.06.2026;;;11.06.2026;;;;;;;;;
43;2.05.12.4.;Система экстренной связи и диспетчеризации лифтов;01.07.2026;01.07.2026;01.06.2026;;;11.06.2026;;;;;;;;;
44;2.05.12.5.;АСКУЭ;01.07.2026;01.07.2026;01.06.2026;;;11.06.2026;;;;;;;;;
45;2.05.12.6.;Система охранного телевидения (видеонаблюдение);01.07.2026;01.07.2026;01.06.2026;;;11.06.2026;;;;;;;;;
46;2.05.12.7.;Домофония и система контроля доступа;01.07.2026;01.07.2026;01.06.2026;;;11.06.2026;;;;;;;;;
47;2.05.99.;Прочие расходы зданий;;;;;;;;;;;;;;;
;;Встроенно-пристроенная подземная автостоянка;;;;;;;;;;;;;;;
;2.05.;Строительство зданий и сооружений;;;;;;;;;23 690 831,30  ;22 831 371,30  ;-859 460,00;;;;
;2.05.01.;Земляные работы;;;;;;;;;1 944 417,00  ;1 084 957,00  ;-859 460,00  ;;;;
48;2.05.01.1.;Устройство котлована;;;;;;;01.07.2025;;1 944 417,00  ;1 084 957,00  ;-859 460,00;Эльбрус ООО ;198471 от 15.09.2025;;
49;2.05.01.2.;Отсыпка и уплотнение основания фундамента;;;;;;;;;;;;;;;
50;2.05.01.9.;Прочие земляные работы (срубка свай);;;;;;;;;;;;;;;
;2.05.02.;Конструкции железобетонные ниже 0.000;;;;;;;;;21 746 414,30  ;21 746 414,30  ;0,00  ;;;;
51;2.05.02.1.;Устройство свайного основания;;;;;;;;;;;;;;;
52;2.05.02.2.;Устройство фундамента;;;;;;;21.11.2025;;4 868 760,00  ;4 868 760,00  ;0,00;КАПИТАЛ-ИНВЕСТ ООО; 218761 от 21.11.2025;;
53;2.05.02.3.;Устройство цоколя;;;;;;;21.11.2025;;14 364 240,00  ;14 364 240,00  ;0,00;КАПИТАЛ-ИНВЕСТ ООО; 218761 от 21.11.2025;;
54;2.05.02.4.;Гироизоляция и утепление цоколя и фундамента;;;;;;;05.03.2026;;1 854 320,00  ;1 854 320,00  ;0,00;Сихварт М.А. ИП ; 223795 от 05.03.2026;;
55;2.05.02.5.;Обратная засыпка боковых пазух котлована;;;;;;;46 086,00  ;;389 094,30  ;389 094,30  ;0,00  ;ТС-ЭКСПЛУАТАЦИЯ ООО;223798 от 05.03.2026;;
56;2.05.02.9.;Прочие расходы на КЖ ниже 0;;;;;;;45 982,00  ;;270 000,00  ;270 000,00  ;0,00  ;КАПИТАЛ-ИНВЕСТ ООО;218761 от 21.11.2025;;
57;2.05.03.;Устройство опалубки;;;;;;;;;;;;;;;
;2.05.04.;Устройство каркаса;;;;;;;;;;;;;;;
58;2.05.04.2.;Монолитные конструкции;;;;;;;;;;;;;;;
59;2.05.04.3.;Прогрев бетона;;;;;;;;;;;;;;;
60;2.05.04.4.;Отверстия и проемы в каркасе;;;;;;;;;;;;;;;
61;2.05.04.9.;Прочие расходы на каркас;;;;;;;;;;;;;;;
;2.05.05.;Отделка фасада;01.08.2027;01.08.2027;13.05.2027;;;02.07.2027;;;;;;;;;
62;2.05.05.1.;Облицовка стен фасада кирпичом;;;;;;;;;;;;;;;
63;2.05.05.2.;Устройство вентилируемого фасада;01.08.2027;01.08.2027;13.05.2027;;;02.07.2027;;;;;;;;;
64;2.05.05.3.;Подсветка фасада;01.08.2027;01.08.2027;13.05.2027;;;02.07.2027;;;;;;;;;
65;2.05.05.4.;Устройство штукатурного фасада;;;;;;;;;;;;;;;
66;2.05.05.9.;Прочие расходы на фасад;01.08.2027;01.08.2027;13.05.2027;;;02.07.2027;;;;;;;;;
;2.05.06.;Устройство перегородок и вентшахт;;;;;;;;;;;;;;;
67;2.05.06.1.;Устройство кирпичных перегородок и вент.шахт;;;;;;;;;;;;;;;
68;2.05.06.2.;Каркасные перегородки;;;;;;;;;;;;;;;
69;2.05.06.9.;Прочие расходы на перегородки и шахты;;;;;;;;;;;;;;;
70;2.05.07.;Устройство кровли;15.06.2026;15.06.2026;15.06.2026;;;15.06.2026;;;;;;;;;
;2.05.08.;Отделка и оборудование МОП;;;;;;;;;;;;;;;
71;2.05.08.1.;Отделка МОП;;;;;;;;;;;;;;;
72;2.05.08.6.;Устройство интерьерного инвентаря, МАФов МОП;;;;;;;;;;;;;;;
73;2.05.08.9.;Прочие расходы на отделку МОП;;;;;;;;;;;;;;;
;2.05.09.;Отделка продаваемых объектов;01.06.2027;01.06.2027;13.03.2027;;;02.05.2027;;;;;;;;;
74;2.05.09.1.;Черновая отделка;;;;;;;;;;;;;;;
75;2.05.09.2.;Отделка White box;;;;;;;;;;;;;;;
