№ п/п;Наименование ТМЦ;Этап работ ГПР;Дата поставки;;;Дата заключения договора;;;Ед. изм.;Объем поставки;;;Цена закупки за ед. (руб.);;;Стоимость (руб.);;;Поставщик;Договор;Статус;Комментарий к отклонениям;
;;;План;Факт;Откл.;План;Факт;Откл.;;План;Факт;Откл.;План;Факт;Откл.;План;Факт;Откл.;;;;;
28;Арматура;2.05.02.3. Устройство цоколя / Устройство плиты покрытия на отм. 0.700 ;12.05.2026;09.10.2025;-215;12.05.2026;08.10.2025;-216;кг;50 684,90;10 892,80;-39 792,10;78,00;59,00;-19,00;3 953 422,20;642 675,20;-3 310 747,00;"АО ""Темерсо""";Договор поставки №191660 от 15.09.2025;частично;;
29;Арматура;2.05.02.2. Устройство фундамента;29.10.2025;05.11.2025;7;30.10.2025;01.11.2025;2;кг;54 853,20;40 923,00;-13 930,20;78,00;59,00;-19,00;4 278 549,60;2 414 457,00;-1 864 092,60;"АО ""Темерсо";Договор поставки №191660 от 15.09.2026;поставлено;;
30;Арматура ;2.05.04.2. Монолитные конструкции / Монолитные конструкции Кровля;24.08.2026;;;;;;кг;2 150,06;;;78,00;;-78,00;167 704,68;;;;;план;;
31;Арматура;2.05.04.4.  Отверстия и проемы в каркасе;01.03.2026;;;;;;кг;12 553,30;;;78,00;;-78,00;979 157,40;;;;;план;;
32;Кирпич пустотелый;Устройство кирпичных перегородок с 1 по 9 этаж;01.06.2026;;;25.05.2026;18.05.2026;-7;шт;33 537,00;;;40,56;37,96;-2,60;1 360 260,72;;;ИДК Строй;;план;"экономия на плановый объем поставки составит 
354 338,24 руб. ";
33;Кирпич полнотелый;Устройство кирпичных перегородок с 1 по 9 этаж;01.06.2026;;;25.05.2026;18.05.2026;-7;шт;16 079,00;;;36,57;26,63;-9,94;588 009,03;;;ИДК Строй;;план;;
34;Кирпич полнотелый;2.05.06.1. Устройство кирпичных перегородок и вентшахт / Устройство кирпичных вентшахт кровля / Кладка вентшахт;01.09.2026;;;20.08.2026;18.05.2026;-94;шт;9 147,00;;;36,57;26,63;-9,94;334 505,79;;;ИДК Строй;;план;;
35;Кирпич пустотелый;2.05.06.1. Устройство кирпичных перегородок и вентшахт / Устройство кирпичных вентшахт кровля / Кладка вентшахт;01.09.2026;;;20.08.2026;18.05.2026;-94;шт;6 306,00;;;40,56;37,96;-2,60;255 771,36;;;ИДК Строй;;план;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
