"Проект ""Верба""";;;;;;;;;;;;;;;;;;;;;;;
Исполнение плана продаж;;;;;;;;;;;;;;;;;;;;;;;
отчетная дата:;31.03.2026;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;* Факт с учетом расторжений и возвратов ДС по итогам расторжений;;;;;;;;;;;;;;
Наименование ;Количество, штук;;;;;;;;;Комментарии к отклонениям;;;;;;;;;;;;;
;"План
;Устав;Текущ. план продаж;Увеличение стоимости объекта;В отчет. месяце наценили на;;;;;;;;;;;;;;;;;;;
Квартиры;1 242 221 080;1 215 539 359;-26 681 721;4 231 578;;;;;;;;;;;;;;;;;;;
1-ком. квартира;;;;0;;;;;;;;;;;;;;;;;;;
2-ком. квартира;;;;0;;;;;;;;;;;;;;;;;;;
3-ком. квартира;;;;0;;;;;;;;;;;;;;;;;;;
4-ком. и более квартира ;;;;0;;;;;;;;;;;;;;;;;;;
Парковки;181 408 900;181 408 900;0;0;;;;;;;;;;;;;;;;;;;
Кладовые;24 441 250;23 067 430;-1 373 820;0;;;;;;;;;;;;;;;;;;;
Коммерческие помещения;82 034 400;82 034 400;0;0;;;;;;;;;;;;;;;;;;;
ИТОГО;1 530 105 630;1 502 050 089;-28 055 541;4 231 578;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Справочно БЕЗ учета расторжений и возвратов ДС по итогам расторжений договоров ДДУ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Наименование ;Общая площадь (без учета расторжений), кв.м;;;;;;;;;Приведенная площадь (без учета расторжений), кв.м;;;;;;;;;;;;;
;"План
проекта";План на отчет. месяц;План накопит. итогом;Факт в отчет. месяце по заключен. ДДУ;Факт накопительно по заключен. ДДУ;Откл. за месяц;Откл.  накопительно;% выполнения накопительно;% выполнения от общего объема;"План
проекта";План на отчет. месяц;План накопит. итогом;Факт в отчет. месяце по заключен. ДДУ;Факт накопительно по заключен. ДДУ;Откл. за месяц;Откл.  накопительно;% выполнения накопительно;% выполнения от общего объема;;;;;
Квартиры;5 091,07;207,52;1 061,72;185,08;1 039,38;-22,44;-22,34;97,9%;20,4%;5 062,03;205,76;1 048,62;184,20;1 027,06;-21,56;-21,56;97,9%;20,3%;;;;;
Парковки;1 054,75;15,91;82,95;0,00;67,04;-15,91;-15,91;80,8%;6,4%;1 054,75;15,91;82,95;0,00;67,04;-15,91;-15,91;80,8%;6,4%;;;;;
Кладовые;195,53;6,14;14,76;0,00;8,62;-6,14;-6,14;58,4%;4,4%;195,53;6,14;14,76;0,00;8,62;-6,14;-6,14;58,4%;4,4%;;;;;
Коммерческие помещения;338,66;0,00;255,27;0,00;255,27;0,00;0,00;100,0%;75,4%;338,66;0,00;255,27;0,00;255,27;0,00;0,00;100,0%;75,4%;;;;;
ИТОГО;6 680,01;229,57;1 414,70;185,08;1 370,31;-44,49;-44,39;96,9%;20,5%;6 650,97;227,81;1 401,60;184,20;1 357,99;-43,61;-43,61;96,9%;20,4%;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Наименование ;Продажи по заключенным ДДУ (без учета расторжений), руб.;;;;;;;;;Поступления на эскроу (без учета возвратов по расторжениям), руб.;;;;;;;;;;;;;
;"План
проекта";План на отчет. месяц;План накопит. итогом;Факт в отчет. месяце по заключен. ДДУ;Факт накопительно по заключен. ДДУ;Откл. за месяц;Откл.  накопительно;% выполнения накопительно;% выполнения от общего объема;"План
проекта";План на отчет. месяц;План накопит. итогом;Факт в отчет. месяце;Факт накопительно;Откл. за месяц;Откл.  накопительно;% выполнения накопительно;% выполнения от общего объема;;;;;
Квартиры;1 210 114 501;48 363 288;246 035 644;43 887 556;241 513 020;-4 475 732;-4 522 624;98,2%;20,0%;1 210 114 501;24 181 644;60 681 000;17 716 973;59 417 503;-6 464 671;-1 263 497;97,9%;4,9%;;;;;
Парковки;181 408 900;2 879 377;14 343 777;0;11 464 400;-2 879 377;-2 879 377;79,9%;6,3%;184 397 641;575 875;2 538 211;325 000;2 287 340;-250 875;-250 871;90,1%;1,2%;;;;;
Кладовые;23 077 430;693 820;1 742 049;0;1 051 640;-693 820;-690 409;60,4%;4,6%;56 459 690;138 764;523 140;18 000;278 340;-120 764;-244 800;53,2%;0,5%;;;;;
Коммерческие помещения;83 034 400;0;67 858 100;0;67 858 100;0;0;100,0%;81,7%;83 034 000;7 033 000;17 033 500;7 033 000;17 033 500;0;0;100,0%;20,5%;;;;;
ИТОГО;1 497 635 231;51 936 485;329 979 570;43 887 556;321 887 160;-8 048 929;-8 092 410;97,5%;21,5%;1 534 005 832;31 929 283;80 775 851;25 092 973;79 016 683;-6 836 310;-1 759 168;97,8%;5,2%;;;;;
